Run,GEO,Name,Chronological_Age_in_Hours,Median_Lifespan_in_Days,Median_Lifespan_in_Hours,Correction_Factor,Biological_Age_in_Hours,Biological_Age_Days,Corrected_Bio_Age_Days,Chronological_Age_Days,Strain,Treatment,AvgSpotLen,Instrument,LibraryLayout,LibrarySelection,RNA_interference,FUDR
SRR3657722,GSE83239,spe-9(hc88),1,15,360,1.0333333333,1.0333333333,0.0430555556,0.0430555442,0.0416666667,spe-9(hc88),None,100,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR3657723,GSE83239,spe-9(hc88),1,15,360,1.0333333333,1.0333333333,0.0430555556,0.0430555442,0.0416666667,spe-9(hc88),None,100,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR7474948,SRP152334,daf-16(mu86);hlh-30(tm1978)_6mMtBOOH,1,14.99,359.76,1.0340226818,1.0340226818,0.0430842784,0.0430842671,0.0416666667,daf-16(mu86);hlh-30(tm1978),6h 6 mM tBOOH+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474959,SRP152334,daf-16(mu86);hlh-30(tm1978)_6mMtBOOH,1,14.99,359.76,1.0340226818,1.0340226818,0.0430842784,0.0430842671,0.0416666667,daf-16(mu86);hlh-30(tm1978),6h 6 mM tBOOH+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474960,SRP152334,daf-16(mu86);hlh-30(tm1978)_6mMtBOOH,1,14.99,359.76,1.0340226818,1.0340226818,0.0430842784,0.0430842671,0.0416666667,daf-16(mu86);hlh-30(tm1978),6h 6 mM tBOOH+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474906,SRP152334,daf-16(mu86)_6mMtBOOH,1,14.39,345.36,1.0771369006,1.0771369006,0.0448807042,0.0448806928,0.0416666667,daf-16(mu86),6h 6 mM tBOOH+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474907,SRP152334,daf-16(mu86)_6mMtBOOH,1,14.39,345.36,1.0771369006,1.0771369006,0.0448807042,0.0448806928,0.0416666667,daf-16(mu86),6h 6 mM tBOOH+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474945,SRP152334,daf-16(mu86)_6mMtBOOH,1,14.39,345.36,1.0771369006,1.0771369006,0.0448807042,0.0448806928,0.0416666667,daf-16(mu86),6h 6 mM tBOOH+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474917,SRP152334,N2,1,14.11,338.64,1.0985116938,1.0985116938,0.0457713206,0.0457713092,0.0416666667,N2,FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474931,SRP152334,N2,1,14.11,338.64,1.0985116938,1.0985116938,0.0457713206,0.0457713092,0.0416666667,N2,FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474932,SRP152334,N2,1,14.11,338.64,1.0985116938,1.0985116938,0.0457713206,0.0457713092,0.0416666667,N2,FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474949,SRP152334,hlh-30(tm1978)_6mMtBOOH,1,14.02,336.48,1.1055634807,1.1055634807,0.046065145,0.0460651336,0.0416666667,hlh-30(tm1978),6h 6 mM tBOOH+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474958,SRP152334,hlh-30(tm1978)_6mMtBOOH,1,14.02,336.48,1.1055634807,1.1055634807,0.046065145,0.0460651336,0.0416666667,hlh-30(tm1978),6h 6 mM tBOOH+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474963,SRP152334,hlh-30(tm1978)_6mMtBOOH,1,14.02,336.48,1.1055634807,1.1055634807,0.046065145,0.0460651336,0.0416666667,hlh-30(tm1978),6h 6 mM tBOOH+FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474918,SRP152334,daf-16(mu86),1,10.04,240.96,1.5438247012,1.5438247012,0.0643260292,0.0643260173,0.0416666667,daf-16(mu86),FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474954,SRP152334,daf-16(mu86),1,10.04,240.96,1.5438247012,1.5438247012,0.0643260292,0.0643260173,0.0416666667,daf-16(mu86),FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474955,SRP152334,daf-16(mu86),1,10.04,240.96,1.5438247012,1.5438247012,0.0643260292,0.0643260173,0.0416666667,daf-16(mu86),FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474951,SRP152334,hlh-30(tm1978),1,8.94,214.56,1.7337807606,1.7337807606,0.072240865,0.0722408529,0.0416666667,hlh-30(tm1978),FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474956,SRP152334,hlh-30(tm1978),1,8.94,214.56,1.7337807606,1.7337807606,0.072240865,0.0722408529,0.0416666667,hlh-30(tm1978),FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR7474957,SRP152334,hlh-30(tm1978),1,8.94,214.56,1.7337807606,1.7337807606,0.072240865,0.0722408529,0.0416666667,hlh-30(tm1978),FUDR,50,Illumina HiSeq 2000,SINGLE,Oligo-dT,None,FUDR
SRR2185657,GSE72426,daf-2(e1370),24,45.76,1098.24,0.3387237762,8.1293706294,0.3387237762,0.3387237544,1,daf-2(e1370),None,202,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR2185658,GSE72426,daf-2(e1370),24,45.76,1098.24,0.3387237762,8.1293706294,0.3387237762,0.3387237544,1,daf-2(e1370),None,202,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR2185659,GSE72426,daf-2(e1370),24,45.76,1098.24,0.3387237762,8.1293706294,0.3387237762,0.3387237544,1,daf-2(e1370),None,202,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR2185672,GSE72426,daf-16(tm6659);daf-2(e1370),24,44.53,1068.72,0.3480799461,8.3539187065,0.3480799461,0.3480799239,1,daf-16(tm6659);daf-2(e1370),None,202,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR2185673,GSE72426,daf-16(tm6659);daf-2(e1370),24,44.53,1068.72,0.3480799461,8.3539187065,0.3480799461,0.3480799239,1,daf-16(tm6659);daf-2(e1370),None,202,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR2185674,GSE72426,daf-16(tm6659);daf-2(e1370),24,44.53,1068.72,0.3480799461,8.3539187065,0.3480799461,0.3480799239,1,daf-16(tm6659);daf-2(e1370),None,202,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR5757275,GSE100482,N2_AZT,16,24.5,588,0.6326530612,10.1224489796,0.4217687075,0.4217686813,0.6666666667,N2,AZT,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR5757276,GSE100482,N2_AZT,16,24.5,588,0.6326530612,10.1224489796,0.4217687075,0.4217686813,0.6666666667,N2,AZT,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR5757277,GSE100482,N2_AZT,16,24.5,588,0.6326530612,10.1224489796,0.4217687075,0.4217686813,0.6666666667,N2,AZT,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR5757281,GSE100482,N2_d4T,16,23.3,559.2,0.6652360515,10.643776824,0.443490701,0.4434906736,0.6666666667,N2,d4T,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR5757282,GSE100482,N2_d4T,16,23.3,559.2,0.6652360515,10.643776824,0.443490701,0.4434906736,0.6666666667,N2,d4T,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR5757283,GSE100482,N2_d4T,16,23.3,559.2,0.6652360515,10.643776824,0.443490701,0.4434906736,0.6666666667,N2,d4T,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR2185669,GSE72426,daf-16(tm5032);daf-2(e1370),24,33.47,803.28,0.4631012847,11.1144308336,0.4631012847,0.4631012561,1,daf-16(tm5032);daf-2(e1370),None,202,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR2185670,GSE72426,daf-16(tm5032);daf-2(e1370),24,33.47,803.28,0.4631012847,11.1144308336,0.4631012847,0.4631012561,1,daf-16(tm5032);daf-2(e1370),None,202,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR2185671,GSE72426,daf-16(tm5032);daf-2(e1370),24,33.47,803.28,0.4631012847,11.1144308336,0.4631012847,0.4631012561,1,daf-16(tm5032);daf-2(e1370),None,202,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR2185666,GSE72426,daf-16(tm5030);daf-2(e1370),24,33.37,800.88,0.464489062,11.1477374888,0.464489062,0.4644890333,1,daf-16(tm5030);daf-2(e1370),None,202,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR2185667,GSE72426,daf-16(tm5030);daf-2(e1370),24,33.37,800.88,0.464489062,11.1477374888,0.464489062,0.4644890333,1,daf-16(tm5030);daf-2(e1370),None,202,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR2185668,GSE72426,daf-16(tm5030);daf-2(e1370),24,33.37,800.88,0.464489062,11.1477374888,0.464489062,0.4644890333,1,daf-16(tm5030);daf-2(e1370),None,202,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR5757287,GSE100482,N2_FLT,16,19.8,475.2,0.7828282828,12.5252525253,0.5218855219,0.5218854894,0.6666666667,N2,FLT,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR5757288,GSE100482,N2_FLT,16,19.8,475.2,0.7828282828,12.5252525253,0.5218855219,0.5218854894,0.6666666667,N2,FLT,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR5757289,GSE100482,N2_FLT,16,19.8,475.2,0.7828282828,12.5252525253,0.5218855219,0.5218854894,0.6666666667,N2,FLT,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR5757263,GSE100482,N2,16,18,432,0.8611111111,13.7777777778,0.5740740741,0.5740740377,0.6666666667,N2,None,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR5757264,GSE100482,N2,16,18,432,0.8611111111,13.7777777778,0.5740740741,0.5740740377,0.6666666667,N2,None,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR5757265,GSE100482,N2,16,18,432,0.8611111111,13.7777777778,0.5740740741,0.5740740377,0.6666666667,N2,None,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR5757269,GSE100482,N2_DMSO,16,18,432,0.8611111111,13.7777777778,0.5740740741,0.5740740377,0.6666666667,N2,DMSO,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR5757270,GSE100482,N2_DMSO,16,18,432,0.8611111111,13.7777777778,0.5740740741,0.5740740377,0.6666666667,N2,DMSO,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR5757271,GSE100482,N2_DMSO,16,18,432,0.8611111111,13.7777777778,0.5740740741,0.5740740377,0.6666666667,N2,DMSO,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR1290426,GSE57739,N2_25C,9,10,240,1.55,13.95,0.58125,0.581249963,0.375,N2,25C,42,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR1290430,GSE57739,N2_25C,9,10,240,1.55,13.95,0.58125,0.581249963,0.375,N2,25C,42,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR1658987,GSE63528,N2 + H2O,24,20.45,490.8,0.7579462103,18.1907090465,0.7579462103,0.7579461562,1,N2,FUDR,100,Illumina HiSeq 2000,SINGLE,cDNA,None,FUDR
SRR1643947,GSE63075,glp-1(bn18ts) + ev,24,19.94,478.56,0.777331996,18.6559679037,0.777331996,0.7773319397,1,glp-1(bn18ts),None,50,Illumina HiSeq 2000,SINGLE,cDNA,Empty vector,None
SRR1643951,GSE63075,glp-1(bn18ts) + ev,24,19.94,478.56,0.777331996,18.6559679037,0.777331996,0.7773319397,1,glp-1(bn18ts),None,50,Illumina HiSeq 2000,SINGLE,cDNA,Empty vector,None
SRR1643955,GSE63075,glp-1(bn18ts) + ev,24,19.94,478.56,0.777331996,18.6559679037,0.777331996,0.7773319397,1,glp-1(bn18ts),None,50,Illumina HiSeq 2000,SINGLE,cDNA,Empty vector,None
SRR1658963,GSE63528,N2 + H2O,24,19.33,463.92,0.8018623901,19.2446973616,0.8018623901,0.8018623307,1,N2,FUDR,100,Illumina HiSeq 2000,SINGLE,cDNA,None,FUDR
SRR1290428,GSE57739,hlh-30(tm1978)_25C,9,7,168,2.2142857143,19.9285714286,0.8303571429,0.8303570798,0.375,hlh-30(tm1978),25C,42,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR1290432,GSE57739,hlh-30(tm1978)_25C,9,7,168,2.2142857143,19.9285714286,0.8303571429,0.8303570798,0.375,hlh-30(tm1978),25C,42,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR1658975,GSE63528,N2 + H2O,24,17.2,412.8,0.9011627907,21.6279069767,0.9011627907,0.9011627174,1,N2,FUDR,100,Illumina HiSeq 2000,SINGLE,cDNA,None,FUDR
SRR7788716,GSE119485,daf-2(e1370);rsks-1(ok1255),96,67.65,1623.6,0.229120473,21.9955654102,0.9164818921,0.9164818164,4,daf-2(e1370);rsks-1(ok1255),None,200,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR7788717,GSE119485,daf-2(e1370);rsks-1(ok1255),96,67.65,1623.6,0.229120473,21.9955654102,0.9164818921,0.9164818164,4,daf-2(e1370);rsks-1(ok1255),None,200,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR7788718,GSE119485,daf-2(e1370);rsks-1(ok1255),96,67.65,1623.6,0.229120473,21.9955654102,0.9164818921,0.9164818164,4,daf-2(e1370);rsks-1(ok1255),None,200,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR7788719,GSE119485,daf-2(e1370);rsks-1(ok1255),96,67.65,1623.6,0.229120473,21.9955654102,0.9164818921,0.9164818164,4,daf-2(e1370);rsks-1(ok1255),None,200,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR7788720,GSE119485,daf-2(e1370);rsks-1(ok1255),96,67.65,1623.6,0.229120473,21.9955654102,0.9164818921,0.9164818164,4,daf-2(e1370);rsks-1(ok1255),None,200,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR7788721,GSE119485,daf-2(e1370);rsks-1(ok1255),96,67.65,1623.6,0.229120473,21.9955654102,0.9164818921,0.9164818164,4,daf-2(e1370);rsks-1(ok1255),None,200,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR7788722,GSE119485,daf-2(e1370);rsks-1(ok1255),96,67.65,1623.6,0.229120473,21.9955654102,0.9164818921,0.9164818164,4,daf-2(e1370);rsks-1(ok1255),None,200,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR7788723,GSE119485,daf-2(e1370);rsks-1(ok1255),96,67.65,1623.6,0.229120473,21.9955654102,0.9164818921,0.9164818164,4,daf-2(e1370);rsks-1(ok1255),None,200,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR2185654,GSE72426,N2,24,16.9,405.6,0.9171597633,22.0118343195,0.9171597633,0.9171596875,1,N2,None,202,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR2185655,GSE72426,N2,24,16.9,405.6,0.9171597633,22.0118343195,0.9171597633,0.9171596875,1,N2,None,202,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR2185656,GSE72426,N2,24,16.9,405.6,0.9171597633,22.0118343195,0.9171597633,0.9171596875,1,N2,None,202,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR1166890,GSE54853,N2_GlcN,35,23.4,561.6,0.6623931624,23.1837606838,0.9659900285,0.9659899444,1.4583333333,N2,100mM GlcN,50,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR1166891,GSE54853,N2_GlcN,35,23.4,561.6,0.6623931624,23.1837606838,0.9659900285,0.9659899444,1.4583333333,N2,100mM GlcN,50,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR1166892,GSE54853,N2_GlcN,35,23.4,561.6,0.6623931624,23.1837606838,0.9659900285,0.9659899444,1.4583333333,N2,100mM GlcN,50,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR1166893,GSE54853,N2_GlcN,35,23.4,561.6,0.6623931624,23.1837606838,0.9659900285,0.9659899444,1.4583333333,N2,100mM GlcN,50,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR1166894,GSE54853,N2_GlcN,35,23.4,561.6,0.6623931624,23.1837606838,0.9659900285,0.9659899444,1.4583333333,N2,100mM GlcN,50,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR1166895,GSE54853,N2_GlcN,35,23.4,561.6,0.6623931624,23.1837606838,0.9659900285,0.9659899444,1.4583333333,N2,100mM GlcN,50,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR2185663,GSE72426,daf-16(mg54);daf-2(e1370),24,15.5,372,1,24,1,0.9999999097,1,daf-16(mg54);daf-2(e1370),None,202,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR2185664,GSE72426,daf-16(mg54);daf-2(e1370),24,15.5,372,1,24,1,0.9999999097,1,daf-16(mg54);daf-2(e1370),None,202,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR2185665,GSE72426,daf-16(mg54);daf-2(e1370),24,15.5,372,1,24,1,0.9999999097,1,daf-16(mg54);daf-2(e1370),None,202,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR2185660,GSE72426,daf-16(mu86);daf-2(e1370),24,15.44,370.56,1.0038860104,24.0932642487,1.0038860104,1.0038859193,1,daf-16(mu86);daf-2(e1370),None,202,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR2185661,GSE72426,daf-16(mu86);daf-2(e1370),24,15.44,370.56,1.0038860104,24.0932642487,1.0038860104,1.0038859193,1,daf-16(mu86);daf-2(e1370),None,202,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR2185662,GSE72426,daf-16(mu86);daf-2(e1370),24,15.44,370.56,1.0038860104,24.0932642487,1.0038860104,1.0038859193,1,daf-16(mu86);daf-2(e1370),None,202,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR1643948,GSE63075,glp-1(bn18ts) + skn-1(RNAi),24,15.23,365.52,1.0177281681,24.4254760341,1.0177281681,1.0177280744,1,glp-1(bn18ts),None,50,Illumina HiSeq 2000,SINGLE,cDNA,skn-1,None
SRR1643952,GSE63075,glp-1(bn18ts) + skn-1(RNAi),24,15.23,365.52,1.0177281681,24.4254760341,1.0177281681,1.0177280744,1,glp-1(bn18ts),None,50,Illumina HiSeq 2000,SINGLE,cDNA,skn-1,None
SRR1643956,GSE63075,glp-1(bn18ts) + skn-1(RNAi),24,15.23,365.52,1.0177281681,24.4254760341,1.0177281681,1.0177280744,1,glp-1(bn18ts),None,50,Illumina HiSeq 2000,SINGLE,cDNA,skn-1,None
SRR1166884,GSE54853,N2,35,21.5,516,0.7209302326,25.2325581395,1.0513565891,1.0513564886,1.4583333333,N2,None,50,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR1166885,GSE54853,N2,35,21.5,516,0.7209302326,25.2325581395,1.0513565891,1.0513564886,1.4583333333,N2,None,50,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR1166886,GSE54853,N2,35,21.5,516,0.7209302326,25.2325581395,1.0513565891,1.0513564886,1.4583333333,N2,None,50,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR1166887,GSE54853,N2,35,21.5,516,0.7209302326,25.2325581395,1.0513565891,1.0513564886,1.4583333333,N2,None,50,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR1166888,GSE54853,N2,35,21.5,516,0.7209302326,25.2325581395,1.0513565891,1.0513564886,1.4583333333,N2,None,50,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR1166889,GSE54853,N2,35,21.5,516,0.7209302326,25.2325581395,1.0513565891,1.0513564886,1.4583333333,N2,None,50,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR4181032,GSE86493,N2_VitD,31,18.29,438.96,0.8474576271,26.2711864407,1.0946327684,1.0946326582,1.2916666667,N2,Vitamin D,102,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR4181033,GSE86493,N2_VitD,31,18.29,438.96,0.8474576271,26.2711864407,1.0946327684,1.0946326582,1.2916666667,N2,Vitamin D,102,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR4181034,GSE86493,N2_VitD,31,18.29,438.96,0.8474576271,26.2711864407,1.0946327684,1.0946326582,1.2916666667,N2,Vitamin D,102,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR4181035,GSE86493,N2_VitD,31,18.29,438.96,0.8474576271,26.2711864407,1.0946327684,1.0946326582,1.2916666667,N2,Vitamin D,102,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR4181036,GSE86493,N2_VitD,31,18.29,438.96,0.8474576271,26.2711864407,1.0946327684,1.0946326582,1.2916666667,N2,Vitamin D,102,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR4181037,GSE86493,N2_VitD,31,18.29,438.96,0.8474576271,26.2711864407,1.0946327684,1.0946326582,1.2916666667,N2,Vitamin D,102,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR4181026,GSE86493,N2_DMSO,31,13.85,332.4,1.119133574,34.6931407942,1.4455475331,1.4455473056,1.2916666667,N2,DMSO,102,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR4181027,GSE86493,N2_DMSO,31,13.85,332.4,1.119133574,34.6931407942,1.4455475331,1.4455473056,1.2916666667,N2,DMSO,102,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR4181028,GSE86493,N2_DMSO,31,13.85,332.4,1.119133574,34.6931407942,1.4455475331,1.4455473056,1.2916666667,N2,DMSO,102,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR4181029,GSE86493,N2_DMSO,31,13.85,332.4,1.119133574,34.6931407942,1.4455475331,1.4455473056,1.2916666667,N2,DMSO,102,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR4181030,GSE86493,N2_DMSO,31,13.85,332.4,1.119133574,34.6931407942,1.4455475331,1.4455473056,1.2916666667,N2,DMSO,102,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR4181031,GSE86493,N2_DMSO,31,13.85,332.4,1.119133574,34.6931407942,1.4455475331,1.4455473056,1.2916666667,N2,DMSO,102,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR1658967,GSE63528,N2 + 50microM mianserin on d1,72,28.25,678,0.5486725664,39.5044247788,1.6460176991,1.6460173575,3,N2,50microM Mianserin+FUDR,100,Illumina HiSeq 2000,SINGLE,cDNA,None,FUDR
SRR1560105,GSE60825,N2_ev_Hypoxia,64,24.56,589.44,0.6311074919,40.3908794788,1.6829533116,1.6829529436,2.6666666667,N2,Hypoxia,172,Illumina HiSeq 2000,PAIRED,cDNA,Empty vector,None
SRR5757278,GSE100482,N2_AZT,64,24.5,588,0.6326530612,40.4897959184,1.6870748299,1.6870744588,2.6666666667,N2,AZT,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR5757279,GSE100482,N2_AZT,64,24.5,588,0.6326530612,40.4897959184,1.6870748299,1.6870744588,2.6666666667,N2,AZT,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR5757280,GSE100482,N2_AZT,64,24.5,588,0.6326530612,40.4897959184,1.6870748299,1.6870744588,2.6666666667,N2,AZT,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR1630867,GSE62720,glp-1(e2141),48,17.54,420.96,0.8836944128,42.417331813,1.7673888255,1.7673883896,2,glp-1(e2141),None,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR1630868,GSE62720,glp-1(e2141),48,17.54,420.96,0.8836944128,42.417331813,1.7673888255,1.7673883896,2,glp-1(e2141),None,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR1630871,GSE62720,glp-1(e2141) + ev,48,17.54,420.96,0.8836944128,42.417331813,1.7673888255,1.7673883896,2,glp-1(e2141),None,51,Illumina HiSeq 2000,SINGLE,cDNA,Empty vector,None
SRR1630872,GSE62720,glp-1(e2141) + ev,48,17.54,420.96,0.8836944128,42.417331813,1.7673888255,1.7673883896,2,glp-1(e2141),None,51,Illumina HiSeq 2000,SINGLE,cDNA,Empty vector,None
SRR1630879,GSE62720,glp-1(e2141),48,17.54,420.96,0.8836944128,42.417331813,1.7673888255,1.7673883896,2,glp-1(e2141),None,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR1630880,GSE62720,glp-1(e2141),48,17.54,420.96,0.8836944128,42.417331813,1.7673888255,1.7673883896,2,glp-1(e2141),None,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR5757284,GSE100482,N2_d4T,64,23.3,559.2,0.6652360515,42.5751072961,1.773962804,1.7739623623,2.6666666667,N2,d4T,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR5757285,GSE100482,N2_d4T,64,23.3,559.2,0.6652360515,42.5751072961,1.773962804,1.7739623623,2.6666666667,N2,d4T,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR5757286,GSE100482,N2_d4T,64,23.3,559.2,0.6652360515,42.5751072961,1.773962804,1.7739623623,2.6666666667,N2,d4T,51,Illumina HiSeq 2000,SINGLE,cDNA,None,None
SRR1658992,GSE63528,N2 + 50microM mianserin on d1,72,25.63,615.12,0.6047600468,43.542723371,1.8142801405,1.8142796618,3,N2,50microM Mianserin+FUDR,100,Illumina HiSeq 2000,SINGLE,cDNA,None,FUDR
SRR8309206,GSE123531,N2,48,17,408,0.9117647059,43.7647058824,1.8235294118,1.8235289242,2,N2,None,300,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR8309207,GSE123531,N2,48,17,408,0.9117647059,43.7647058824,1.8235294118,1.8235289242,2,N2,None,300,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR8309208,GSE123531,N2,48,17,408,0.9117647059,43.7647058824,1.8235294118,1.8235289242,2,N2,None,300,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR8309209,GSE123531,N2,48,17,408,0.9117647059,43.7647058824,1.8235294118,1.8235289242,2,N2,None,300,Illumina HiSeq 2000,PAIRED,cDNA,None,None
SRR5131501,GSE92902,N2 + DR,144,49.15,1179.6,0.3153611394,45.4120040692,1.8921668362,1.8921662774,6,N2,DR+FUDR,50,Illumina HiSeq 2000,SINGLE,cDNA,None,FUDR
SRR5131502,GSE92902,N2 + DR,144,49.15,1179.6,0.3153611394,45.4120040692,1.8921668362,1.8921662774,6,N2,DR+FUDR,50,Illumina HiSeq 2000,SINGLE,cDNA,None,FUDR
SRR5131503,GSE92902,N2 + DR,144,49.15,1179.6,0.3153611394,45.4120040692,1.8921668362,1.8921662774,6,N2,DR+FUDR,50,Illumina HiSeq 2000,SINGLE,cDNA,None,FUDR
SRR1658979,GSE63528,N2 + 50microM mianserin on d1,72,23.92,574.08,0.647993311,46.6555183946,1.9439799331,1.9439793139,3,N2,50microM Mianserin+FUDR,100,Illumina HiSeq 2000,SINGLE,cDNA,None,FUDR
SRR1560104,GSE60825,N2_ev,64,20.52,492.48,0.7553606238,48.343079922,2.0142949968,2.0142942855,2.6666666667,N2,None,172,Illumina HiSeq 2000,PAIRED,cDNA,Empty vector,None
